Model name,model 1,model 2 ,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16
"Carl_LASSO_10_pred.txt',",1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
" 'Carl_LASSO_11_pred.txt',",1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
" 'Carl_LASSO_2_pred.txt',",1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
" 'Carl_LASSO_3_pred.txt',",1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1
" 'Carl_LASSO_4_pred.txt',",1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0
" 'Carl_LASSO_5_pred.txt',",1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
" 'Carl_LASSO_6_pred.txt',",1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0
" 'Carl_LASSO_7_pred.txt',",1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
" 'Carl_LASSO_8_pred.txt',",1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
" 'Carl_LASSO_9_pred.txt',",1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
" 'Carl_LM_10_pred.txt',",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
" 'Carl_LM_1_pred.txt',",1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0
" 'Carl_LM_2_pred.txt',",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
" 'Carl_LM_3_pred.txt',",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
" 'Carl_LM_4_pred.txt',",1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
" 'Carl_LM_5_pred.txt',",1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0
" 'Carl_LM_6_pred.txt',",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0
" 'Carl_LM_7_pred.txt',",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
" 'Carl_LM_8_pred.txt',",1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
" 'Carl_LM_9_pred.txt',",1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1
" 'Carl_ridge_10_pred.txt',",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1
" 'Carl_ridge_1_pred.txt',",1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
" 'Carl_ridge_2_pred.txt',",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
" 'Carl_ridge_3_pred.txt',",1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1
" 'Carl_ridge_4_pred.txt',",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
" 'Carl_ridge_5_pred.txt',",1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
" 'Carl_ridge_6_pred.txt',",1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
" 'Carl_ridge_7_pred.txt',",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1
" 'Carl_ridge_8_pred.txt',",1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1
" 'Carl_ridge_9_pred.txt',",1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
" 'justin_BaggingRegressor_1_pred.txt',",1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1
" 'justin_BayesianRidge_1_pred.txt',",1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
" 'justin_ElasticNet_1_pred.txt',",1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1
" 'justin_lasso_1_pred.txt',",1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
" 'justin_lasso_2_pred.txt',",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
" 'justin_ridge_1_pred.txt',",1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1
 'justin_xgboost_1_pred.txt'],1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1
RMSE,4.439,4.43648,4.42687,4.43986,4.43976,4.47085,4.44911,4.43472,4.43335,4.44739,4.44978,4.4253,4.44813,4.44674,4.43104,4.431
